;duration;gross;budget;imdb_score;movie_facebook_likes;color;content_rating;country;language
0;178.0;760505847.0;237000000;7.9;33000;Color;PG-13;USA;English
1;169.0;309404152.0;300000000;7.1;0;Color;PG-13;USA;English
2;148.0;200074175.0;245000000;6.8;85000;Color;PG-13;UK;English
3;164.0;448130642.0;250000000;8.5;164000;Color;PG-13;USA;English
5;132.0;73058679.0;263700000;6.6;24000;Color;PG-13;USA;English
6;156.0;336530303.0;258000000;6.2;0;Color;PG-13;USA;English
7;100.0;200807262.0;260000000;7.8;29000;Color;PG;USA;English
8;141.0;458991599.0;250000000;7.5;118000;Color;PG-13;USA;English
9;153.0;301956980.0;250000000;7.5;10000;Color;PG;UK;English
10;183.0;330249062.0;250000000;6.9;197000;Color;PG-13;USA;English
11;169.0;200069408.0;209000000;6.1;0;Color;PG-13;USA;English
12;106.0;168368427.0;200000000;6.7;0;Color;PG-13;UK;English
13;151.0;423032628.0;225000000;7.3;5000;Color;PG-13;USA;English
14;150.0;89289910.0;215000000;6.5;48000;Color;PG-13;USA;English
15;143.0;291021565.0;225000000;7.2;118000;Color;PG-13;USA;English
16;150.0;141614023.0;225000000;6.6;0;Color;PG;USA;English
17;173.0;623279547.0;220000000;8.1;123000;Color;PG-13;USA;English
18;136.0;241063875.0;250000000;6.7;58000;Color;PG-13;USA;English
19;106.0;179020854.0;225000000;6.8;40000;Color;PG-13;USA;English
20;164.0;255108370.0;250000000;7.5;65000;Color;PG-13;NewZealand;English
21;153.0;262030663.0;230000000;7.0;56000;Color;PG-13;USA;English
22;156.0;105219735.0;200000000;6.7;17000;Color;PG-13;USA;English
23;186.0;258355354.0;225000000;7.9;83000;Color;PG-13;USA;English
24;113.0;70083519.0;180000000;6.1;0;Color;PG-13;USA;English
25;201.0;218051260.0;207000000;7.2;0;Color;PG-13;NewZealand;English
26;194.0;658672302.0;200000000;7.7;26000;Color;PG-13;USA;English
27;147.0;407197282.0;250000000;8.2;72000;Color;PG-13;USA;English
28;131.0;65173160.0;209000000;5.9;44000;Color;PG-13;USA;English
29;124.0;652177271.0;150000000;7.0;150000;Color;PG-13;USA;English
30;143.0;304360277.0;200000000;7.8;80000;Color;PG-13;UK;English
31;135.0;373377893.0;200000000;7.3;0;Color;PG-13;USA;English
32;195.0;408992272.0;200000000;7.2;95000;Color;PG-13;USA;English
33;108.0;334185206.0;200000000;6.5;24000;Color;PG;USA;English
34;104.0;234360014.0;210000000;6.8;0;Color;PG-13;Canada;English
35;104.0;268488329.0;200000000;7.3;44000;Color;G;USA;English
36;150.0;402076689.0;200000000;6.0;0;Color;PG-13;USA;English
37;165.0;245428137.0;210000000;5.7;56000;Color;PG-13;USA;English
38;130.0;234903076.0;215000000;6.4;60000;Color;PG;USA;English
39;142.0;202853933.0;200000000;6.7;41000;Color;PG-13;USA;English
40;125.0;172051787.0;170000000;6.8;30000;Color;PG;USA;English
41;106.0;191450875.0;200000000;6.3;10000;Color;G;USA;English
42;123.0;116593191.0;200000000;5.6;24000;Color;PG-13;USA;English
43;103.0;414984497.0;200000000;8.3;30000;Color;G;USA;English
44;118.0;125320003.0;200000000;6.6;0;Color;PG-13;USA;English
45;140.0;350034110.0;190000000;7.2;94000;Color;PG-13;USA;English
46;123.0;202351611.0;190000000;7.0;129000;Color;PG-13;USA;English
47;149.0;233914986.0;200000000;8.0;82000;Color;PG-13;USA;English
48;132.0;228756232.0;190000000;7.8;92000;Color;PG-13;USA;English
49;114.0;65171860.0;195000000;6.3;22000;Color;PG-13;USA;English
50;143.0;144812796.0;105000000;7.3;115000;Color;PG-13;Australia;English
51;116.0;90755643.0;200000000;6.6;23000;Color;PG-13;USA;English
52;131.0;101785482.0;190000000;7.0;83000;Color;PG-13;USA;English
53;154.0;352358779.0;195000000;6.3;46000;Color;PG-13;USA;English
54;122.0;317011114.0;185000000;6.2;5000;Color;PG-13;USA;English
56;93.0;237282182.0;185000000;7.2;39000;Color;PG;USA;English
57;122.0;130468626.0;185000000;7.5;30000;Color;PG-13;USA;English
58;98.0;223806889.0;180000000;8.4;16000;Color;G;USA;English
59;91.0;140080850.0;140000000;6.2;0;Color;PG-13;USA;English
60;158.0;166112167.0;200000000;5.8;13000;Color;PG-13;USA;English
61;96.0;137850096.0;200000000;6.8;0;Color;PG;USA;English
62;127.0;47375327.0;176000000;5.4;44000;Color;PG-13;USA;English
63;110.0;124051759.0;180000000;6.6;29000;Color;PG-13;USA;English
64;150.0;291709845.0;180000000;6.9;0;Color;PG;USA;English
65;144.0;154985087.0;178000000;7.3;54000;Color;PG-13;USA;English
66;152.0;533316061.0;185000000;9.0;37000;Color;PG-13;USA;English
67;96.0;292979556.0;175000000;8.3;27000;Color;PG;USA;English
68;94.0;198332128.0;175000000;6.5;0;Color;PG;USA;English
69;126.0;318298180.0;140000000;7.9;10000;Color;PG-13;USA;English
70;126.0;73820094.0;170000000;7.5;42000;Color;PG;USA;English
71;106.0;113745408.0;170000000;4.8;0;Color;PG-13;USA;English
72;112.0;102176165.0;145000000;5.2;0;Color;PG-13;USA;English
73;123.0;161087183.0;175000000;6.9;80000;Color;PG-13;USA;English
74;96.0;100289690.0;175000000;5.4;2000;Color;PG;USA;English
75;113.0;100189501.0;178000000;7.9;77000;Color;PG-13;USA;English
76;176.0;88246220.0;175000000;6.1;0;Color;PG-13;USA;English
77;118.0;150167630.0;175000000;5.8;0;Color;PG-13;USA;English
78;95.0;356454367.0;175000000;8.3;118000;Color;PG;USA;English
79;106.0;362645141.0;175000000;7.8;65000;Color;PG;UK;English
